Number,Name,Type 1,Type 2,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Standard Deviation,Generation,Experience type,Catch Rate,Height,Weight,BMI
1.0,Bulbasaur,Grass,Poison,"['Chlorophyll', 'Overgrow']",45.0,49.0,49.0,65.0,65.0,45.0,318.0,370.29106624908974,8.64098759787715,1.0,Medium Slow,45.0,0.7,6.9,14.1
2.0,Ivysaur,Grass,Poison,"['Chlorophyll', 'Overgrow']",60.0,62.0,63.0,80.0,80.0,60.0,405.0,67.5,8.90224690738243,1.0,Medium Slow,45.0,1.0,13.0,13.0
3.0,Venusaur,Grass,Poison,"['Chlorophyll', 'Overgrow']",80.0,82.0,83.0,100.0,100.0,80.0,525.0,87.5,8.90224690738243,1.0,Medium Slow,45.0,2.0,100.0,25.0
3.0,Mega Venusaur,Grass,Poison,['Thick Fat'],80.0,100.0,123.0,514.0278018997642,120.0,80.0,625.0,104.166666666667,18.7475924380231,6.0,Medium Slow,45.0,2.4,155.5,27.0
4.0,Charmander,Fire,,"['Blaze', 'Solar Power']",39.0,52.0,43.0,60.0,50.0,65.0,309.0,51.5,8.99536917900909,1.0,Medium Slow,45.0,0.6,8.5,23.6
5.0,Charmeleon,Fire,,"['Blaze', 'Solar Power']",58.0,64.0,58.0,80.0,65.0,80.0,405.0,-67.5,9.23309265630969,1.0,Medium Slow,45.0,1.1,19.0,15.7
6.0,Charizard,Fire,Flying,"['Blaze', 'Solar Power']",78.0,84.0,78.0,109.0,85.0,100.0,534.0,89.0,11.5758369027902,1.0,Medium Slow,45.0,1.7,90.5,31.3
6.0,Mega Charizard Y,Fire,Flying,['Drought'],78.0,104.0,78.0,159.0,115.0,100.0,634.0,105.666666666667,27.3780122645081,6.0,Medium Slow,45.0,1.7,100.5,34.8
6.0,Mega Charizard X,Fire,Dragon,['Tough Claws'],78.0,130.0,111.0,130.0,85.0,100.0,634.0,105.666666666667,20.154955277108,6.0,Medium Slow,45.0,1.7,110.5,38.2
7.0,Squirtle,Water,,"['Rain Dish', 'Torrent']",44.0,48.0,65.0,50.0,64.0,43.0,314.0,52.3333333333333,8.91939210683977,1.0,Medium Slow,45.0,0.5,9.0,36.0
8.0,Wartortle,Water,,"['Rain Dish', 'Torrent']",59.0,63.0,80.0,65.0,80.0,58.0,405.0,67.5,9.14239210126832,1.0,Medium Slow,45.0,1.0,22.5,22.5
9.0,Blastoise,Water,,"['Rain Dish', 'Torrent']",79.0,83.0,100.0,85.0,105.0,78.0,530.0,88.3333333333333,10.3869576339219,1.0,Medium Slow,45.0,1.6,85.5,33.4
9.0,Mega Blastoise,Water,,['Mega Launcher'],79.0,103.0,120.0,135.0,115.0,78.0,630.0,105.0,20.952326839757,6.0,Medium Slow,45.0,1.6,101.1,39.5
10.0,Caterpie,Bug,,"['Run Away', 'Shield Dust']",45.0,30.0,35.0,,20.0,45.0,195.0,32.5,10.3077640640442,1.0,Medium Fast,255.0,0.3,2.9,32.2
11.0,Metapod,Bug,,['Shed Skin'],50.0,20.0,55.0,25.0,25.0,30.0,205.0,34.1666666666667,13.3593496182345,1.0,Medium Fast,120.0,0.7,9.9,20.2
12.0,Butterfree,Bug,Flying,['Tinted Lens'],60.0,45.0,50.0,90.0,80.0,70.0,395.0,65.8333333333333,15.9208109787857,1.0,Medium Fast,45.0,1.1,32.0,26.4
13.0,Weedle,Bug,Poison,"['Run Away', 'Shield Dust']",40.0,35.0,30.0,20.0,20.0,50.0,195.0,32.5,10.7043604822209,1.0,Medium Fast,255.0,0.3,3.2,35.6
14.0,Kakuna,Bug,Poison,['Shed Skin'],45.0,25.0,50.0,25.0,25.0,35.0,205.0,34.1666666666667,10.1721296797781,1.0,Medium Fast,120.0,0.6,10.0,27.8
15.0,Beedrill,Bug,Poison,"['Sniper', 'Swarm']",65.0,90.0,40.0,45.0,80.0,75.0,395.0,65.8333333333333,18.123802642443,1.0,Medium Fast,45.0,1.0,29.5,29.5
15.0,Mega Beedrill,Bug,Poison,['Adaptability'],65.0,150.0,40.0,-358.43882263186885,80.0,145.0,495.0,82.5,50.2286438863988,6.0,Medium Fast,45.0,1.4,40.5,20.7
16.0,Pidgey,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",40.0,45.0,40.0,35.0,35.0,56.0,251.0,41.8333333333333,7.19760762722973,1.0,Medium Slow,255.0,0.3,1.8,20.0
17.0,Pidgeotto,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",63.0,60.0,55.0,50.0,50.0,71.0,349.0,58.1666666666667,7.47031161033832,1.0,Medium Slow,120.0,1.1,30.0,24.8
18.0,Pidgeot,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",83.0,80.0,75.0,70.0,70.0,101.0,479.0,79.8333333333333,10.6052921799554,1.0,Medium Slow,45.0,1.5,39.5,17.6
18.0,Mega Pidgeot,Normal,Flying,['No Guard'],83.0,80.0,80.0,135.0,80.0,121.0,579.0,375.76753362685565,22.6623770450792,6.0,Medium Slow,45.0,2.2,50.5,10.4
19.0,Rattata,Normal,,"['Guts', 'Hustle', 'Run Away']",30.0,56.0,35.0,25.0,35.0,72.0,253.0,42.1666666666667,16.4662955423765,1.0,Medium Fast,255.0,0.3,3.5,38.9
19.0,Alolan Rattata,Dark,Normal,"['Gluttony', 'Hustle', 'Thick Fat']",30.0,56.0,35.0,25.0,35.0,72.0,253.0,42.1666666666667,16.4662955423765,7.0,Medium Fast,255.0,0.3,3.8,42.2
20.0,Raticate,Normal,,"['Guts', 'Hustle', 'Run Away']",55.0,81.0,60.0,50.0,70.0,97.0,413.0,68.8333333333333,16.1597923529014,1.0,Medium Fast,127.0,0.7,18.5,37.8
20.0,Alolan Raticate,Dark,Normal,"['Gluttony', 'Hustle', 'Thick Fat']",75.0,71.0,70.0,40.0,80.0,77.0,413.0,68.8333333333333,13.3343749593131,7.0,Medium Fast,127.0,0.7,25.5,52.0
21.0,Spearow,Normal,Flying,"['Keen Eye', 'Sniper']",40.0,60.0,30.0,31.0,31.0,70.0,262.0,43.6666666666667,15.7126983325236,1.0,Medium Fast,255.0,0.3,2.0,22.2
22.0,Fearow,Normal,Flying,"['Keen Eye', 'Sniper']",65.0,90.0,65.0,61.0,61.0,100.0,442.0,73.6666666666667,15.4452437842708,1.0,Medium Fast,90.0,1.2,38.0,26.4
23.0,Ekans,Poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",35.0,60.0,44.0,40.0,54.0,55.0,288.0,48.0,8.92561855933059,1.0,Medium Fast,255.0,2.0,6.9,1.7
24.0,Arbok,Poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",60.0,95.0,69.0,65.0,79.0,80.0,448.0,74.6666666666667,11.5566238822398,1.0,Medium Fast,90.0,3.5,65.0,5.3
25.0,Pikachu,Electric,,"['Lightning Rod', 'Static']",35.0,55.0,40.0,50.0,50.0,90.0,320.0,53.3333333333333,17.7169096878911,1.0,Medium Fast,190.0,0.4,6.0,37.5
26.0,Raichu,Electric,,"['Lightning Rod', 'Static']",60.0,90.0,55.0,90.0,80.0,110.0,485.0,80.8333333333333,18.8008569544641,1.0,Medium Fast,75.0,0.8,30.0,46.9
26.0,Alolan Raichu,Electric,Psychic,['Surge Surfer'],60.0,85.0,50.0,95.0,85.0,110.0,485.0,80.8333333333333,20.2929927698099,7.0,Medium Fast,75.0,0.7,21.0,42.9
27.0,Sandshrew,Ground,,"['Sand Rush', 'Sand Veil']",50.0,75.0,85.0,20.0,30.0,40.0,300.0,50.0,23.2737334062816,1.0,Medium Fast,255.0,0.6,12.0,33.3
27.0,Alolan Sandshrew,Ice,Steel,"['Slush Rush', 'Snow Cloak']",50.0,75.0,90.0,10.0,35.0,40.0,300.0,50.0,26.2995563967658,7.0,Medium Fast,255.0,0.7,40.0,81.6
28.0,Sandslash,Ground,,"['Sand Rush', 'Sand Veil']",75.0,100.0,110.0,45.0,55.0,65.0,450.0,75.0,23.2737334062816,1.0,Medium Fast,90.0,1.0,29.5,29.5
28.0,Alolan Sandslash,Ice,Steel,"['Slush Rush', 'Snow Cloak']",75.0,100.0,120.0,25.0,65.0,65.0,450.0,75.0,29.8607881119482,7.0,Medium Fast,90.0,1.2,55.0,38.2
29.0,Nidoran♀,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",55.0,47.0,52.0,40.0,40.0,41.0,275.0,45.8333333333333,5.98377435700541,1.0,Medium Slow,235.0,0.4,7.0,43.8
30.0,Nidorina,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",70.0,62.0,67.0,55.0,55.0,56.0,365.0,60.8333333333333,5.98377435700541,1.0,Medium Slow,120.0,0.8,20.0,31.3
31.0,Nidoqueen,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",90.0,92.0,87.0,75.0,85.0,76.0,505.0,84.1666666666667,6.51707159867238,1.0,Medium Slow,45.0,1.3,60.0,35.5
32.0,Nidoran♂,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",46.0,57.0,40.0,40.0,40.0,50.0,273.0,45.5,6.37050495120546,1.0,Medium Slow,235.0,0.5,9.0,36.0
33.0,Nidorino,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",61.0,72.0,57.0,55.0,55.0,65.0,365.0,60.8333333333333,6.12145589073565,1.0,Medium Slow,120.0,0.9,19.5,24.1
34.0,Nidoking,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",81.0,102.0,77.0,85.0,75.0,85.0,505.0,84.1666666666667,8.80183061767393,1.0,Medium Slow,45.0,1.4,62.0,31.6
35.0,Clefairy,Fairy,,"['Cute Charm', 'Friend Guard', 'Magic Guard']",70.0,45.0,48.0,60.0,65.0,35.0,323.0,53.8333333333333,12.1849178176228,1.0,Fast,150.0,0.6,7.5,20.8
36.0,Clefable,Fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",95.0,70.0,73.0,95.0,90.0,60.0,483.0,80.5,13.5246688191122,1.0,Fast,25.0,1.3,40.0,23.7
37.0,Vulpix,Fire,,"['Drought', 'Flash Fire']",38.0,41.0,40.0,50.0,65.0,65.0,299.0,49.8333333333333,11.3639292891539,1.0,Medium Fast,190.0,0.6,9.9,27.5
37.0,Alolan Vulpix,Ice,,"['Snow Cloak', 'Snow Warning']",38.0,41.0,40.0,50.0,65.0,65.0,299.0,49.8333333333333,11.3639292891539,7.0,Medium Fast,190.0,0.6,9.9,27.5
38.0,Ninetales,Fire,,"['Drought', 'Flash Fire']",73.0,76.0,75.0,81.0,100.0,100.0,505.0,84.1666666666667,11.4515889242013,1.0,Medium Fast,75.0,1.1,19.9,16.4
38.0,Alolan Ninetales,Ice,Fairy,"['Snow Cloak', 'Snow Warning']",73.0,67.0,75.0,81.0,100.0,109.0,505.0,84.1666666666667,15.1703292280981,7.0,Medium Fast,75.0,1.1,19.9,16.4
39.0,Jigglypuff,Normal,Fairy,"['Competitive', 'Cute Charm', 'Friend Guard']",115.0,,20.0,45.0,25.0,20.0,270.0,-45.0,33.0403793359983,1.0,Fast,170.0,0.5,5.5,22.0
40.0,Wigglytuff,Normal,Fairy,"['Competitive', 'Cute Charm', 'Frisk']",140.0,70.0,45.0,85.0,50.0,45.0,435.0,72.5,33.5099487714718,1.0,Fast,50.0,1.0,12.0,12.0
41.0,Zubat,Poison,Flying,"['Infiltrator', 'Inner Focus']",40.0,45.0,35.0,30.0,40.0,55.0,245.0,40.8333333333333,7.8616509433805,1.0,Medium Fast,255.0,0.8,7.5,11.7
42.0,Golbat,Poison,Flying,"['Infiltrator', 'Inner Focus']",75.0,80.0,70.0,65.0,75.0,,455.0,75.8333333333333,7.8616509433805,1.0,Medium Fast,90.0,1.6,55.0,21.5
43.0,Oddish,Grass,Poison,"['Chlorophyll', 'Run Away']",45.0,50.0,55.0,75.0,65.0,30.0,320.0,53.3333333333333,14.3372087784044,1.0,Medium Slow,255.0,0.5,5.4,21.6
44.0,Gloom,Grass,Poison,"['Chlorophyll', 'Stench']",60.0,65.0,70.0,85.0,75.0,40.0,395.0,65.8333333333333,13.9692121785335,1.0,Medium Slow,120.0,0.8,8.6,13.4
45.0,Vileplume,Grass,Poison,"['Chlorophyll', 'Effect Spore']",75.0,80.0,85.0,110.0,90.0,50.0,490.0,81.6666666666667,17.950549357115,1.0,Medium Slow,45.0,1.2,18.6,12.9
46.0,Paras,Bug,Grass,"['Damp', 'Dry Skin', 'Effect Spore']",35.0,70.0,55.0,45.0,55.0,25.0,285.0,47.5,14.6486631927058,1.0,Medium Fast,190.0,0.3,5.4,60.0
-3830.2496613041517,Parasect,Bug,Grass,"['Damp', 'Dry Skin', 'Effect Spore']",60.0,95.0,80.0,60.0,80.0,30.0,405.0,67.5,20.7665596572952,1.0,Medium Fast,75.0,1.0,29.5,29.5
48.0,Venonat,Bug,Poison,"['Run Away', 'Tinted Lens']",60.0,55.0,50.0,40.0,55.0,45.0,305.0,50.8333333333333,6.71854812358213,1.0,Medium Fast,190.0,1.0,30.0,30.0
49.0,Venomoth,Bug,Poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",70.0,65.0,60.0,90.0,75.0,90.0,450.0,,11.5470053837925,1.0,Medium Fast,75.0,1.5,12.5,5.6
50.0,Diglett,Ground,,"['Arena Trap', 'Sand Force', 'Sand Veil']",10.0,55.0,25.0,35.0,45.0,95.0,265.0,44.1666666666667,26.835403646841,1.0,Medium Fast,255.0,0.2,0.8,20.0
50.0,Alolan Diglett,Ground,Steel,"['Sand Force', 'Sand Veil', 'Tangling Hair']",10.0,55.0,30.0,35.0,45.0,90.0,265.0,44.1666666666667,24.7347034660931,-7.0,Medium Fast,255.0,0.2,1.0,25.0
51.0,Dugtrio,Ground,,"['Arena Trap', 'Sand Force', 'Sand Veil']",35.0,100.0,50.0,50.0,70.0,120.0,425.0,70.8333333333333,30.0578146614524,1.0,Medium Fast,50.0,0.7,33.3,68.0
